Russian,English,French
кровь,blood,du sang
мало,few,peu
солнце,the sun,le soleil
неделя,a week,une semaine
туда,there,là
сюда,here,ici
ребята,guys,les gars
рассказать,tell,raconter
шаг,step,marcher
мужчина,Man,Homme
великий,great,génial
нос,nose,nez
внимание,Attention,Attention
капитан,captain,capitaine
ухо,an ear,une oreille
слишком,too,trop
тяжёлый,heavy,lourd
спать,sleep,dormir
оставить,retain,conserver
войти,to come in,entrer
длинный,a long,le long de
молчать,to be silent,être silencieux
рассказывать,narrate,raconter
отвечать,respond,répondre
искать,search,rechercher
десять,ten,Dix
начать,to begin,pour commencer
личный,private,privé
верить,believe,croyez
семья,a family,une famille
генерал,Gen.,Général
группа,Group,Grouper
ответ,answer,répondre
тихо,quiet,calmer
знакомый,friend,ami
помощь,help,aider
сильный,strong,fort
скорый,speedy,rapide
собака,dog,chien
смысл,meaning,sens
бежать,run,Cours
двор,court,rechercher
форма,the form,la forme
приехать,come,venir
простой,plain,plaine
возможность,opportunity,occasion
зелёный,green,vert
открыть,open,ouvert
происходить,take place,prend place
ладно,okay,d'accord
наверное,probably,Probablement
немец,German,Allemand
губа,lip,lèvre
дядя,uncle,oncle
приходить,to come,venir
домой,home,domicile
огонь,the fire,le feu
писатель,writer,écrivain
армия,army,armée
состояние,state,Etat
зуб,tooth,dent
камень,a rock,un rocher
гость,the guest,l'invité
ветер,wind,vent
собираться,collect,collecter
попасть,get,obtenir
услышать,hear,écouter
уметь,be able to,être capable de
случиться,happen,se produire
сначала,first,premier
странный,strange,étrange
рота,company,entreprise
закон,law,droit
коротко,short,court
добрый,kind,gentil
темный,dark,foncé
гора,mountain,montagne
врач,doctor,docteur
лучший,best,meilleur
военный,military,militaire
река,river,fleuve
мера,measure,mesure
вполне,well,bien
произойти,occur,se produire
медленно,slow,ralentir
медленный,slow,ralentir
необходимый,necessary,nécessaire
действие,act,acte
вещь,thing,chose
причина,cause,cause
положить,put,mettre
едва,barely,à peine
черта,feature,fonctionnalité
девочка,girl,fille
лёгкий,easy,facile
легко,easily,facilement
купить,buy,acheter
широкий,wide,large
умереть,die,mourir
красивый,beautiful,belle
серый,grey,gris
пить,drink,boire
командир,commander,le commandant
проблема,problem,problème
страх,fear,peur
проходить,pass,passe
бумага,paper,papier
пара,couple,coupler
речь,speech,parole
начаться,to begin,pour commencer
средство,means,moyens
положение,position,positionner
скоро,soon,bientôt
представлять,submit,nous faire parvenir
небольшой,small,petit
объяснить,explained,expliqué
завтра,tomorrow,demain
произнести,pronounce,prononcer
пустой,empty,vider
нравиться,like,aimer
человеческий,human,Humain
иначе,otherwise,autrement
удаться,work out,s'entraîner
класс,class,classer
цель,target,cible
чистый,clean,faire le ménage
прежний,former,ancien
худой,thin,mince
профессор,Professor,Professeur
счастье,happiness,joie
представить,imagine,imaginer
дух,spirit,esprit
бывший,former,ancien
близкий,close,Fermer
директор,director,réalisateur
больной,sick,malade
память,memory,Mémoire
кстати,by the way,d'ailleurs
результат,result,résultat
улыбаться,to smile,sourir
трудно,difficult,difficile
бутылка,bottle,bouteille
условие,condition,état
подобный,like,aimer
ум,mind,écouter
возможный,possible,possible
процесс,process,traiter
картина,picture,photo
смеяться,laugh,rire
сто,one hundred,cent
хватать,suffice,suffire
почувствовать,feel,Ressentir
принести,bring,apporter
вовсе,all,tout
будущее,future,futur
согласиться,accept,J'accepte
число,number,numéro
правый,right,droite
хватить,suffice,suffire
вера,Vera,Vera
холодно,cold,du froid
удар,hit,frappé
телефон,telephone,Téléphone
колено,knee,le genou
принимать,accept,J'accepte
коридор,corridor,couloir
вниз,down,vers le bas
встреча,a meeting,une rencontre
кабинет,study,étude
самолет,plane,avion
хлеб,bread,pain
развитие,development,développement
убить,kill,tuer
родной,native,originaire de
открыто,open,ouvert
менее,less,moins
приходиться,fall,tombe
выпить,drink up,boire
желтый,yellow,jaune
трубка,a tube,un tube
показывать,show,spectacle
доктор,doctor,docteur
двое,two,deux
вызвать,cause,cause
попросить,ask,demandez
лейтенант,lieutenant,lieutenant
служба,service,un service
оказываться,prove,prouver
привести,lead,conduire
сорок,forty,quarante
золотой,gold,or
крупный,large,grande
кухня,kitchen,cuisine
решение,decision,décision
требовать,require,exiger
частый,frequent,fréquent
российский,Russian,russe
рабочий,working,travail
роман,novel,roman
потерять,lose,perdre
компания,company,entreprise
синий,blue,bleu
столько,so many,tant
достать,get,obtenir
железный,iron,le fer
сообщить,to report,signaler
метр,meter,mètre
появляться,appear,apparaître
упасть,fall,tombe
институт,Institute of,Institut de
шесть,six,six
интерес,interest,intérêt
московский,Moscow,Moscou
получиться,get,obtenir
вон,out,en dehors
половина,half,moitié
видимо,apparently,Apparemment
качество,quality,qualité
шея,neck,cou
важный,important,important
трава,grass,gazon
дед,grandfather,grand-père
сознание,consciousness,conscience
родитель,parent,parent
простить,to forgive,pardonner
бить,beat,battre
кивнуть,nod,hocher la tête
чай,tea,thé
тонкий,thin,mince
немецкий,German,Allemand
род,kind,gentil
отдать,pay,Payer
помочь,help,aider
президент,the president,Le président
поэт,poet,poète
спасибо,Thank you,Merci
болезнь,disease,maladie
событие,event,un événement
слать,send,envoyer
вспоминать,remember,souviens toi
кожа,leather,cuir
лист,sheet,feuille
прекрасный,beautiful,belle
верный,right,droite
надежда,hope,espoir
верно,right,droite
вздохнуть,breathe,respirer
запах,smell,sentir
неожиданно,suddenly,tout à coup
вчера,yesterday,hier
рост,height,la taille
природа,nature,nature
политический,political,politique
точка,point,point
петь,sing,chanter
садиться,sit down,s'asseoir
характер,character,personnage
неизвестный,unknown,inconnu
офицер,an officer,un gendarme
толпа,crowd,foule
перестать,stop,arrêter
придтись,to come,venir
пожаловать,grant,accorder
баба,woman,femme
тихий,quiet,calmer
банк,bank,Banque
опыт,experience,vivre
получать,receive,recevoir
правило,rule,régner
стекло,glass,verre
называться,be called,être appelé
дочь,daughter,la fille
член,member,membre
глубокий,deep,Profond
десяток,ten,Dix
подходить,suit,costume
цветок,flower,fleur
желание,a wish,un souhait
дождь,rain,pluie
вновь,again,de nouveau
голубой,blue,bleu
лоб,forehead,front
улыбка,smile,le sourire
ворот,the gate,la porte
ящик,box,boîte
впервые,for the first time,pour la première fois
поверить,to believe,croire
революция,the revolution,la révolution
взглянуть,glance,coup d'œil
сестра,sister,sœur
слабый,weak,faible
уверенный,sure,Bien sur
ситуация,situation,situation
любимый,favorite,préféré
количество,quantity,quantité
ожидать,expect,attendre
висеть,hang,pendre
совет,council,conseil
дурак,fool,tromper
союз,union,syndicat
лето,summer,l'été
интересный,interesting,intéressant
серьёзный,serious,sérieux
интересно,interesting,intéressant
уехать,leave,quitter
свобода,freedom,liberté
разговаривать,talk,parlez
стул,chair,chaise
левый,left,la gauche
поезд,a train,un train
музыка,music,musique
тень,shadow,ombre
детский,baby,de bébé
счастливый,happy,heureux
тип,a type,un type
суд,court,rechercher
площадь,area,surface
повернуться,to turn,tourner
позволить,allow,Autoriser
встретить,meet,rencontrer
острый,acute,aigu
входить,enter,Entrer
обнаружить,detect,détecter
нести,bear,ours
орган,organ,organe
обратно,back,dos
современный,modern,moderne
король,king,Roi
слава,glory,gloire
полковник,Col.,Col
семь,seven,Sept
бок,side,côté
цена,price,le prix
информация,information,informations
мозг,brain,cerveau
удовольствие,pleasure,plaisir
воля,will,volonté
область,region,Région
крыша,roof,toit
прислать,send,envoyer
весело,fun,amusant
дама,lady,la demoiselle
относиться,relate,relater
возникать,arise,surgir
правительство,government,gouvernement
повторить,repeat,répéter
средний,middle,milieu
невозможно,impossible,impossible
погибнуть,fall,tombe
американский,American,américain
название,name,Nom
пример,example,Exemple
зеркало,mirror,miroir
двигаться,move,bouge toi
дым,smoke,fumée
добавить,add,ajouter
удивиться,wonder,merveille
осторожно,Caution,Mise en garde
рыба,a fish,un poisson
вино,wine,vin
держаться,hold on,attendez
учитель,teacher,prof
носить,wear,porter
круг,a circle,un cercle
папа,dad,papa
причем,and,et
ночной,night,nuit
здоровый,healthy,sain
привыкнуть,get used to it,s'habituer à
свободный,free,libre
птица,bird,oiseau
корабль,ship,bateau
обязательно,necessarily,nécessairement
вверх,up,en haut
зима,winter,l'hiver
позвонить,call,appel
кровать,bed,lit
столь,so,donc
мешать,prevent,empêcher
возникнуть,occur,se produire
лестница,stairs,escaliers
способный,capable,capable
вскоре,soon,bientôt
детство,childhood,enfance
остров,Island,île
статья,article,article
желать,want,vouloir
получаться,obtained,obtenu
водка,vodka,Vodka
темнота,darkness,obscurité
ставить,put,mettre
понятно,understandably,compréhensible
гражданин,citizen,citoyenne
команда,team,équipe
заболевание,disease,maladie
живот,stomach,estomac
страшно,scary,angoissant
наверно,probably,Probablement
дорого,expensive,cher
тишина,silence,silence
проводить,spend,dépenser
фронт,front,de face
щека,cheek,joue
обещать,promise,promettre
дорогой,expensive,cher
выражение,expression,expression
собраться,gather,rassembler
колоть,prick,piquer
прямой,straight,droit
закричать,shout,crier
управление,control,contrôler
кончиться,come to an end,arriver à une fin
стрелять,shoot,tirer
приказ,order,ordre
использовать,use,utiliser
отсюда,here,ici
куст,bush,Buisson
знак,sign,signe
кулак,fist,poing
стакан,glass,verre
высший,higher,plus haute
вставать,get up,se lever
рот,mouth,bouche
лечение,treatment,traitement
сутки,day,journée
ежедневно,daily,du quotidien
очевидный,evident,évident
наивный,naive,naïve
порошок,powder,poudre
поворачивать,turn,tour
польский,Polish,polonais
кол,stake,pieu
интеллектуальный,intellectual,intellectuel
удержать,to keep,garder
промышленный,industrial,industriel
формула,formula,formule
хотя,although,même si
об,about,à propos de
твой,is yours,C'est le tien
лишь,only,seul
будто,allegedly,prétendument
однако,but,mais
именно,exactly,exactement
никакой,no,non
некоторый,some,quelque
таки,nevertheless,cependant
хоть,though,mais
любой,any,quelconque
словно,like,aimer
нельзя,must not,ne doit pas
оно,it,il
ж,Well,bien
кроме,Besides,outre
пусть,let be,laisser être
среди,among,parmi
ко,to,à
вокруг,around,environ
чтоб,to,à
впрочем,however,pourtant
видно,it is seen,C'est vu
против,vs,vs
иной,other,autre
кой,Coy,Timide
либо,or,ou alors
вперед,forward,avant
возле,near,près
мимо,by,par
сквозь,through,à travers
сей,this,cette
вместо,instead,plutôt
всякое,all,tout
многие,many,beaucoup
пожалуйста,you are welcome,vous êtes les bienvenus
поскольку,insofar as,dans la mesure où
чей,whose,à qui
мол,breakwater,digue
ибо,for,pour
прочее,other,autre
ради,for,pour
неужели,really,vraiment
